latitude,longitude,year,month,day,type,basisOfRecord,gbifID,occurrenceID,system:time_start,geometry
8.68927,-83.5835,2022.0,4.0,24.0,Fotograf{EK000016.JPG,MACHINE_OBSERVATION,4875673220,EK000016.JPG/DDC/fonafifo_2161,2022-04-24T00:00:00,POINT (-83.5835 8.68927)
10.738537,-85.572084,2022.0,4.0,11.0,Fotograf{04240341.JPG,MACHINE_OBSERVATION,4875673096,04240341.JPG/DDC/fonafifo,2022-04-11T00:00:00,POINT (-85.572084 10.738537)
10.738537,-85.572084,2022.0,5.0,16.0,Fotograf{04240342.JPG,MACHINE_OBSERVATION,4875673028,04240342.JPG/DDC/fonafifo,2022-05-16T00:00:00,POINT (-85.572084 10.738537)
10.72969,-85.58463,2022.0,12.0,23.0,Fotograf{04130208.JPG,MACHINE_OBSERVATION,4875669717,04130208.JPG/DDC/fonafifo,2022-12-23T00:00:00,POINT (-85.58463 10.72969)
10.738537,-85.572084,2019.0,2.0,20.0,Fotograf{05160556.JPG,MACHINE_OBSERVATION,4875668229,05160556.JPG/DDC/fonafifo,2019-02-20T00:00:00,POINT (-85.572084 10.738537)
8.74807,-83.40155,2019.0,7.0,4.0,Fotograf{02200014.JPG,MACHINE_OBSERVATION,4875667699,02200014.JPG/DDC/fonafifo,2019-07-04T00:00:00,POINT (-83.40155 8.74807)
8.68927,-83.5835,2019.0,4.0,17.0,Fotograf{EK000028.JPG,MACHINE_OBSERVATION,4875667535,EK000028.JPG/DDC/fonafifo_2312,2019-04-17T00:00:00,POINT (-83.5835 8.68927)
8.74807,-83.40155,2019.0,2.0,20.0,Fotograf{05310320.JPG,MACHINE_OBSERVATION,4875664667,05310320.JPG/DDC/fonafifo,2019-02-20T00:00:00,POINT (-83.40155 8.74807)
10.763197,-85.560203,2019.0,4.0,26.0,Fotograf{04110095.JPG,MACHINE_OBSERVATION,4875664485,04110095.JPG/DDC/fonafifo,2019-04-26T00:00:00,POINT (-85.560203 10.763197)
8.68927,-83.5835,2022.0,4.0,10.0,Fotograf{EK000017.JPG,MACHINE_OBSERVATION,4875663097,EK000017.JPG/DDC/fonafifo_2301,2022-04-10T00:00:00,POINT (-83.5835 8.68927)
10.726964,-85.5949,2019.0,4.0,11.0,Video,MACHINE_OBSERVATION,4875662614,05230346.MP4/DDC/fonafifo,2019-04-11T00:00:00,POINT (-85.5949 10.726964)
8.68927,-83.5835,2022.0,5.0,16.0,Fotograf{EK000017.JPG,MACHINE_OBSERVATION,4875661053,EK000017.JPG/DDC/fonafifo_2162,2022-05-16T00:00:00,POINT (-83.5835 8.68927)
8.68927,-83.5835,2019.0,4.0,26.0,Fotograf{EK000030.JPG,MACHINE_OBSERVATION,4875660942,EK000030.JPG/DDC/fonafifo_2314,2019-04-26T00:00:00,POINT (-83.5835 8.68927)
10.726964,-85.5949,2022.0,4.0,13.0,Video,MACHINE_OBSERVATION,4875660689,05190467.MP4/DDC/fonafifo,2022-04-13T00:00:00,POINT (-85.5949 10.726964)
10.738537,-85.572084,2019.0,4.0,26.0,Fotograf{04100129.JPG,MACHINE_OBSERVATION,4875659283,04100129.JPG/DDC/fonafifo,2019-04-26T00:00:00,POINT (-85.572084 10.738537)
8.74807,-83.40155,2019.0,7.0,4.0,Fotograf{04260042.JPG,MACHINE_OBSERVATION,4875658766,04260042.JPG/DDC/fonafifo,2019-07-04T00:00:00,POINT (-83.40155 8.74807)
10.726964,-85.5949,2019.0,5.0,31.0,Video,MACHINE_OBSERVATION,4875656255,09220892.MP4/DDC/fonafifo,2019-05-31T00:00:00,POINT (-85.5949 10.726964)
